Back,,,,Chrome,Firefox,IE,,,,,,
ID_224,,"Kiểm tra ""Ngày giao hàng"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_225,,"Kiểm tra ""Ngày giao hàng"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_226,,"Kiểm tra ""Ngày giao hàng"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_227,,"Kiểm tra ""Ngày giao hàng"" là giá trị THIẾU NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_228,,"Kiểm tra ""Ngày giao hàng"" là giá trị THIẾU THÁNG
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_229,,"Kiểm tra ""Ngày giao hàng"" là giá trị THIẾU NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_230,,"Kiểm tra ""Ngày giao hàng"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_231,,"Kiểm tra ""Ngày giao hàng"" là giá trị ÂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_232,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị đúng định dạng dd/MM/yyyy
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_233,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THIẾU SỐ 0 ĐỆM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_234,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_235,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị SAI THỨ TỰ (yyyy/MM/dd)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 12/31/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_236,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị NGÀY KHÔNG TỒN TẠI
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 32/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_237,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị NGÀY KHÔNG PHẢI TỪ 01-31
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 00/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_238,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THÁNG > 12
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/13/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_239,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THÁNG < 01
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/00/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_240,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị NĂM NHUẬN
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 29/02/2024
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_241,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị KHÔNG PHẢI NĂM NHUẬN
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 29/02/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_242,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THÁNG 4 CHỈ CÓ 30 NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/04/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_243,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị KHÔNG PHẢI SỐ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = abcd
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_244,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị NĂM KHÔNG ĐỦ 4 KÝ TỰ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 11/11/26
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_245,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị CÓ KHOẢNG TRẮNG ĐẦU
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = <khoảng trắng>31/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_246,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_247,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_248,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_249,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THIẾU NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_250,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THIẾU THÁNG
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_251,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị THIẾU NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_252,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_253,,"Kiểm tra ""Ngày nhận hàng dự kiến"" là giá trị ÂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_254,,"Kiểm tra là giá trị <DATETIME>
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_255,,"Kiểm tra là giá trị <DATETIME>
Group 7 ""Kết quả báo giá""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_256,,Kiểm tra chức năng copy/paste dữ liệu,Copy/Paste dữ liệu vào các field,Cho phép copy/paste dữ liệu vào field,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_257,,"Kiểm tra ""Mã báo giá"" là ký tự latin
Group 1 ""Thông tin chung""",Nhập/Paste giá trị = 颜色,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Mã báo giá không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_258,,"Kiểm tra ""Tên báo giá"" là ký tự latin
Group 1 ""Thông tin chung""",Nhập/Paste giá trị = 颜色,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Tên báo giá không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_259,,"Kiểm tra ""Mô tả"" là ký tự latin
Group 1 ""Thông tin chung""",Nhập/Paste giá trị = 颜色,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Mô tả không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_260,,"Kiểm tra ""Ghi chú"" là ký tự latin
Group 1 ""Thông tin chung""",Nhập/Paste giá trị = 颜色,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Ghi chú không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_261,,"Kiểm tra ""Số báo giá"" là ký tự latin
Group 1 ""Thông tin chung""",Nhập/Paste giá trị = 颜色,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Số báo giá không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_262,,"Kiểm tra ""Tên khách hàng"" là ký tự latin
Group 2 ""Thông tin khách hàng""",Nhập/Paste giá trị = 颜色,"- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_263,,"Kiểm tra là ký tự latin
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_264,,"Kiểm tra ""Tên xuất hóa đơn"" là ký tự latin
Group 4 ""Thông tin xuất hóa đơn""",Nhập/Paste giá trị = 颜色,"- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_265,,"Kiểm tra ""Địa chỉ xuất hóa đơn"" là ký tự latin
Group 4 ""Thông tin xuất hóa đơn""",Nhập/Paste giá trị = 颜色,"- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_266,,"Kiểm tra ""Mã số thuế xuất hóa đơn"" là ký tự latin
Group 4 ""Thông tin xuất hóa đơn""",Nhập/Paste giá trị = 颜色,"- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_267,,"Kiểm tra ""Địa chỉ kho xuất hàng"" là ký tự latin
Group 5 ""Thông tin vận chuyển""",Nhập/Paste giá trị = 颜色,"- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_268,,"Kiểm tra là ký tự latin
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_269,,"Kiểm tra ""Mã báo giá"" là ký tự cho phép (Ký tự thường)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Cho phép
- Ký tự thường là ký tự cho phép toàn hệ thống:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_270,,"Kiểm tra ""Tên báo giá"" là ký tự cho phép (Ký tự thường)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Cho phép
- Ký tự thường là ký tự cho phép toàn hệ thống:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_271,,"Kiểm tra ""Mô tả"" là ký tự cho phép (Ký tự thường)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Cho phép
- Ký tự thường là ký tự cho phép toàn hệ thống:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_272,,"Kiểm tra ""Ghi chú"" là ký tự cho phép (Ký tự thường)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Cho phép
- Ký tự thường là ký tự cho phép toàn hệ thống:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_273,,"Kiểm tra ""Số báo giá"" là ký tự cho phép (Ký tự thường)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Cho phép
- Ký tự thường là ký tự cho phép toàn hệ thống:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_274,,"Kiểm tra ""Tên khách hàng"" là ký tự cho phép (Ký tự thường)
Group 2 ""Thông tin khách hàng""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_275,,"Kiểm tra là ký tự cho phép (Ký tự thường)
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_276,,"Kiểm tra ""Tên xuất hóa đơn"" là ký tự cho phép (Ký tự thường)
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_277,,"Kiểm tra ""Địa chỉ xuất hóa đơn"" là ký tự cho phép (Ký tự thường)
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_278,,"Kiểm tra ""Mã số thuế xuất hóa đơn"" là ký tự cho phép (Ký tự thường)
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_279,,"Kiểm tra ""Địa chỉ kho xuất hàng"" là ký tự cho phép (Ký tự thường)
Group 5 ""Thông tin vận chuyển""","Nhập/Paste giá trị =
aZ01Ă_-+.,()'/$€£¥₹₽","- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_280,,"Kiểm tra là ký tự cho phép (Ký tự thường)
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_281,,"Kiểm tra ""Mã báo giá"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Không cho phép
- Ngoại trừ các ký tự thường là ký tự cho phép như danh sách bên dưới, còn lại là các ký tự đặc biệt không cho phép:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Dấu cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)

- Viền đỏ field để cảnh báo trạng thái lỗi
- Ngoài các ký tự trên, hệ thống thông báo - Error message: ""Mã báo giá không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_282,,"Kiểm tra ""Tên báo giá"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Không cho phép
- Ngoại trừ các ký tự thường là ký tự cho phép như danh sách bên dưới, còn lại là các ký tự đặc biệt không cho phép:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Dấu cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)

- Viền đỏ field để cảnh báo trạng thái lỗi
- Ngoài các ký tự trên, hệ thống thông báo - Error message: ""Tên báo giá không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_283,,"Kiểm tra ""Mô tả"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Không cho phép
- Ngoại trừ các ký tự thường là ký tự cho phép như danh sách bên dưới, còn lại là các ký tự đặc biệt không cho phép:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Dấu cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)

- Viền đỏ field để cảnh báo trạng thái lỗi
- Ngoài các ký tự trên, hệ thống thông báo - Error message: ""Mô tả không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_284,,"Kiểm tra ""Ghi chú"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Không cho phép
- Ngoại trừ các ký tự thường là ký tự cho phép như danh sách bên dưới, còn lại là các ký tự đặc biệt không cho phép:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Dấu cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)

- Viền đỏ field để cảnh báo trạng thái lỗi
- Ngoài các ký tự trên, hệ thống thông báo - Error message: ""Ghi chú không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_285,,"Kiểm tra ""Số báo giá"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 1 ""Thông tin chung""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Không cho phép
- Ngoại trừ các ký tự thường là ký tự cho phép như danh sách bên dưới, còn lại là các ký tự đặc biệt không cho phép:
+ Chữ cái (a-z, A-Z)
+ Số (0-9)
+ Unicode (Ă, Â…)
+ Gạch dưới (_)
+ Gạch ngang (-)
+ Dấu cộng (+)
+ Chấm (.)
+ Phẩy (,)
+ Mở ngoặc (()
+ Đóng ngoặc ())
+ Dấu nháy đơn (')
+ Dấu xoẹt (/)
+ Ký tự tiền tệ: ($), (€), (£), (¥), (₹), (₽)

- Viền đỏ field để cảnh báo trạng thái lỗi
- Ngoài các ký tự trên, hệ thống thông báo - Error message: ""Số báo giá không được chứa ký tự đặc biệt""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_286,,"Kiểm tra ""Tên khách hàng"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 2 ""Thông tin khách hàng""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_287,,"Kiểm tra là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_288,,"Kiểm tra ""Tên xuất hóa đơn"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_289,,"Kiểm tra ""Địa chỉ xuất hóa đơn"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_290,,"Kiểm tra ""Mã số thuế xuất hóa đơn"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 4 ""Thông tin xuất hóa đơn""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_291,,"Kiểm tra ""Địa chỉ kho xuất hàng"" là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 5 ""Thông tin vận chuyển""","Nhập/Paste giá trị =
!@#%^&*<>?:;""{}[]|\ (Đã remove dấu cộng +)","- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_292,,"Kiểm tra là ký tự KHÔNG cho phép (Ký tự đặc biệt)
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
